1 6 16	satellite.variable.percentage
1 14 1 1 10	satellite.library.main.arguments.access
1 14 1 1 11	satellite.library.main.arguments.history
1 8 6	satellite.file.open(path)
1 14 1 1 2 2	satellite.library.main.arguments.memory.free
1 14 1 1 2 3	satellite.library.main.arguments.memory.used
1 14 1 1 12	satellite.library.main.arguments.directory
1 14 1 1 13	satellite.library.main.arguments.cores
1 14 1 1 14	satellite.library.main.arguments.threads
1 14 1 1 15	satellite.library.main.arguments.user
1 14 1 1 16	satellite.library.main.arguments.ram
1 14 1 1 17	satellite.library.main.arguments.dir
1 25	satellite.feedback
1 25 0	satellite.feedback()
1 25 1	satellite.feedback(x)
1 4 5	satellite.container.index
1 4 6	satellite.container.multiple
1 6 17	satellite.variable.infinity
1 26	satellite.infinity
1 26 0	satellite.infinity()
1 6 18	satellite.variable.window
1 27	satellite.window
1 27 1	satellite.window.new(title, width, height)
1 27 2	satellite.window.button(text)
1 27 3	satellite.window.label(text)
1 27 4	satellite.window.text_box(text)
1 27 5	satellite.window.text_area(text)
1 27 6	satellite.window.checkbox(text)
1 27 7	satellite.window.switch
1 27 7 0	satellite.window.switch()
1 27 8	satellite.window.slider(least, most)
1 27 9	satellite.window.number_box(least, most)
1 27 10	satellite.window.progress
1 27 10 0	satellite.window.progress()
1 27 11	satellite.window.choice(items)
1 27 12	satellite.window.row
1 27 12 0	satellite.window.row()
1 27 13	satellite.window.column
1 27 13 0	satellite.window.column()
1 27 14	satellite.window.grid
1 27 14 0	satellite.window.grid()
1 27 15	satellite.window.picture(path)
1 27 16	satellite.window.scroll
1 27 16 0	satellite.window.scroll()
1 27 17	satellite.window.frame(title)
1 27 18	satellite.window.split
1 27 18 0	satellite.window.split()
1 27 19	satellite.window.menu(title)
1 27 20	satellite.window.canvas(width, height)
1 27 21	satellite.window.tabs
1 27 21 0	satellite.window.tabs()
1 27 22	satellite.window.one_of(items)
1 5 10	satellite.console.new(title, width, height)
1 28	satellite.namespace
